Achternaam,Voornaam,Stud.Nr.,Vak1,Vak2,Vak3,Vak4,Vak5
Aalbers,Anouk,21490777,Cryptografie 2,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Admiraal,Arjen,58436637,Quantumrekenen,Datastructuren,Neurale Netwerken,Ethiek van AI,
Appelman,Amber,54398056,Quantumrekenen,Datastructuren,Robotica,Wetenschapsfilosofie,
Bakker,Bram,42394260,Quantumrekenen,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Blankevoort,Britt,34084236,Quantumrekenen,Datastructuren,Neurale Netwerken,Ethiek van AI,
Bosman,Bas,57219209,Quantumrekenen,Datastructuren,Neurale Netwerken,Ethiek van AI,
Claassen,Coen,70900658,Statistisch Redeneren,Cryptografie 2,Complexiteitstheorie,Wetenschapsfilosofie,
Cornelissen,Carlijn,64549859,Quantumrekenen,Practicum Lab 42,Neurale Netwerken,Complexiteitstheorie,
Cuppen,Casper,50569669,Statistisch Redeneren,Practicum Lab 42,Robotica,Complexiteitstheorie,
Dekker,Demi,46361787,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Dijkstra,Daan,75575808,Quantumrekenen,Datastructuren,Neurale Netwerken,Ethiek van AI,
Drenth,Dieuwke,11898961,Cryptografie 2,Datastructuren,Neurale Netwerken,Ethiek van AI,
Egberts,Elin,51154241,Statistisch Redeneren,Datastructuren,Complexiteitstheorie,Wetenschapsfilosofie,
Elzinga,Emiel,81690398,Statistisch Redeneren,Cryptografie 2,Robotica,Ethiek van AI,
Evers,Eva,84514489,Statistisch Redeneren,Cryptografie 2,Robotica,Ethiek van AI,
Feenstra,Fenna,43742830,Statistisch Redeneren,Practicum Lab 42,Robotica,Wetenschapsfilosofie,
Fortuin,Femke,26989677,Quantumrekenen,Cryptografie 2,Neurale Netwerken,Wetenschapsfilosofie,
Fransen,Floris,42255732,Statistisch Redeneren,Datastructuren,Robotica,Complexiteitstheorie,
Gerritsen,Guusje,40942292,Statistisch Redeneren,Datastructuren,Neurale Netwerken,Ethiek van AI,
Goedhart,Gwen,46817443,Statistisch Redeneren,Datastructuren,Practicum Lab 42,Ethiek van AI,
Groot,Gijs,73900135,Statistisch Redeneren,Cryptografie 2,Robotica,Wetenschapsfilosofie,
Hendriks,Hannah,96691619,Quantumrekenen,Datastructuren,Neurale Netwerken,Complexiteitstheorie,
Hoekstra,Hidde,26194158,Statistisch Redeneren,Datastructuren,Robotica,Complexiteitstheorie,
Huizinga,Harm,16109013,Quantumrekenen,Datastructuren,Robotica,Ethiek van AI,
IJsselstein,Iris,75876924,Statistisch Redeneren,Datastructuren,Neurale Netwerken,Ethiek van AI,
Idema,Ilse,35848226,Statistisch Redeneren,Cryptografie 2,Neurale Netwerken,Complexiteitstheorie,
Isarin,Imke,17318358,Statistisch Redeneren,Practicum Lab 42,Robotica,Wetenschapsfilosofie,
Jansen,Joep,70152969,Quantumrekenen,Datastructuren,Complexiteitstheorie,Ethiek van AI,
Jonker,Jasmijn,52352128,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Ethiek van AI,
Koster,Kees,12314351,Quantumrekenen,Datastructuren,Neurale Netwerken,Complexiteitstheorie,
Kuipers,Koen,26046365,Cryptografie 2,Datastructuren,Robotica,Wetenschapsfilosofie,
Lammers,Lotte,22489409,Cryptografie 2,Datastructuren,Robotica,Wetenschapsfilosofie,
Leeflang,Lars,81922443,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Meijer,Mees,49491631,Quantumrekenen,Datastructuren,Robotica,Complexiteitstheorie,
Mulder,Merel,34850391,Cryptografie 2,Datastructuren,Neurale Netwerken,Wetenschapsfilosofie,
Nijhuis,Noor,39742165,Quantumrekenen,Practicum Lab 42,Robotica,Wetenschapsfilosofie,
Noordhuis,Nout,35708194,Statistisch Redeneren,Cryptografie 2,Robotica,Complexiteitstheorie,
Olthof,Odin,39042654,Statistisch Redeneren,Cryptografie 2,Neurale Netwerken,Complexiteitstheorie,
Oosterhout,Olaf,64277800,Statistisch Redeneren,Cryptografie 2,Neurale Netwerken,Wetenschapsfilosofie,
Peters,Pleun,42655866,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Complexiteitstheorie,
Postma,Puck,74988034,Quantumrekenen,Datastructuren,Robotica,Complexiteitstheorie,
Quaak,Quinn,51098277,Quantumrekenen,Cryptografie 2,Robotica,Complexiteitstheorie,
Rietveld,Rens,47111151,Quantumrekenen,Datastructuren,Robotica,Complexiteitstheorie,
Roelofs,Roos,99115205,Statistisch Redeneren,Datastructuren,Neurale Netwerken,Wetenschapsfilosofie,
Schouten,Sanne,89133014,Quantumrekenen,Practicum Lab 42,Robotica,Complexiteitstheorie,
Smit,Sven,88055069,Statistisch Redeneren,Practicum Lab 42,Robotica,Ethiek van AI,
Timmermans,Tess,59529086,Quantumrekenen,Cryptografie 2,Complexiteitstheorie,Wetenschapsfilosofie,
Tromp,Teun,80415568,Quantumrekenen,Datastructuren,Robotica,Ethiek van AI,
Ubbink,Umut,90099897,Quantumrekenen,Cryptografie 2,Neurale Netwerken,Complexiteitstheorie,
Uithoven,Ubbo,73519947,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Ethiek van AI,
Verbeek,Vera,84285882,Statistisch Redeneren,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Visser,Veerle,47983442,Quantumrekenen,Datastructuren,Neurale Netwerken,Complexiteitstheorie,
Willems,Wessel,81259135,Quantumrekenen,Practicum Lab 42,Neurale Netwerken,Wetenschapsfilosofie,
Wolters,Ward,23492385,Quantumrekenen,Practicum Lab 42,Robotica,Wetenschapsfilosofie,
Xanten,Xavi,56138336,Quantumrekenen,Datastructuren,Neurale Netwerken,Ethiek van AI,
Xhofleer,Xena,36054020,Statistisch Redeneren,Cryptografie 2,Neurale Netwerken,Wetenschapsfilosofie,
Ypma,Yara,67110154,Statistisch Redeneren,Datastructuren,Robotica,Wetenschapsfilosofie,
Yska,Youri,49761527,Cryptografie 2,Practicum Lab 42,Robotica,Complexiteitstheorie,
Zijlstra,Zoe,40532273,Statistisch Redeneren,Datastructuren,Practicum Lab 42,Wetenschapsfilosofie,
Zwart,Zeno,83871890,Quantumrekenen,Cryptografie 2,Neurale Netwerken,Ethiek van AI,
